,layer,position,iia
0,0,0,0.0
1,0,1,0.98
2,0,2,0.1
3,0,3,0.0
4,1,0,0.0
5,1,1,0.98
6,1,2,0.1
7,1,3,0.0
8,2,0,0.0
9,2,1,0.96
10,2,2,0.3
11,2,3,0.14
12,3,0,0.0
13,3,1,0.42
14,3,2,0.1
15,3,3,0.22
16,4,0,0.0
17,4,1,0.0
18,4,2,0.0
19,4,3,0.94
20,5,0,0.0
21,5,1,0.0
22,5,2,0.0
23,5,3,0.96
