,0,1,2,3,4,5
<name>,0.4795918367346938,0.4285714285714285,0.4285714285714285,0.4795918367346938,0.4285714285714285,0.4285714285714285
is,0.4795918367346938,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285
afraid,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4795918367346938,0.4285714285714285,0.4285714285714285
of,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285,0.4285714285714285
